Filter,Type,Stat,Org,VolMean,Correlation,Org_Type
LHL,gldm,SmallDependenceEmphasis,forebrain anteroventral region,1.50037597451452,Positive,gldm.forebrain anteroventral region
exponential,glrlm,ShortRunEmphasis,forebrain anteroventral region,1.2347441667206,Positive,glrlm.forebrain anteroventral region
HLH,glrlm,RunLengthNonUniformityNormalized,forebrain anteroventral region,1.13512353514881,Positive,glrlm.forebrain anteroventral region
LHH,glrlm,LongRunLowGrayLevelEmphasis,forebrain anteroventral region,0.885713643821323,Negative,glrlm.forebrain anteroventral region
HLL,glcm,DifferenceVariance,forebrain anteroventral region,1.06765156551058,Positive,glcm.forebrain anteroventral region
LLH,gldm,HighGrayLevelEmphasis,forebrain anteroventral region,1.05217663408608,Positive,gldm.forebrain anteroventral region
HHL,glrlm,LongRunHighGrayLevelEmphasis,forebrain anteroventral region,0.81969058502558,Negative,glrlm.forebrain anteroventral region
original,glrlm,GrayLevelNonUniformity,forebrain anteroventral region,0.670623117425726,Negative,glrlm.forebrain anteroventral region
LHH,glrlm,GrayLevelNonUniformity,midbrain,1.0407969267158,Positive,glrlm.midbrain
HLH,glrlm,ShortRunHighGrayLevelEmphasis,forebrain anteroventral region,1.08742636334632,Positive,glrlm.forebrain anteroventral region
LLL,firstorder,TotalEnergy,forebrain anteroventral region,0.499149933535363,Negative,firstorder.forebrain anteroventral region
gradient,glrlm,ShortRunLowGrayLevelEmphasis,forebrain anteroventral region,1.8565909819834,Positive,glrlm.forebrain anteroventral region
LLH,glcm,SumSquares,forebrain anteroventral region,1.0379118923642,Positive,glcm.forebrain anteroventral region
LLL,glrlm,GrayLevelNonUniformity,forebrain anteroventral region,0.565059462076376,Negative,glrlm.forebrain anteroventral region
LLH,glcm,SumEntropy,forebrain anteroventral region,1.0190600261211,Positive,glcm.forebrain anteroventral region
HLH,gldm,DependenceNonUniformity,midbrain,1.05486978152633,Positive,gldm.midbrain
LHH,glrlm,RunVariance,forebrain anteroventral region,0.836254738562093,Negative,glrlm.forebrain anteroventral region
HLH,gldm,LargeDependenceHighGrayLevelEmphasis,forebrain anteroventral region,0.815042909151048,Negative,gldm.forebrain anteroventral region
HHL,gldm,GrayLevelNonUniformity,forebrain anteroventral region,0.489978635254987,Negative,gldm.forebrain anteroventral region
HLH,glrlm,RunPercentage,forebrain anteroventral region,1.09867478083572,Positive,glrlm.forebrain anteroventral region
